timestamp,high,high_forecast
2021-04-22,55521.48,
2021-04-23,52131.85,
2021-04-24,51166.22,
2021-04-25,50567.91,
2021-04-26,54356.62,
2021-04-27,55460.0,
2021-04-28,56428.0,
2021-04-29,55195.84,
2021-04-30,57963.0,
2021-05-01,58458.07,
2021-05-02,57911.02,
2021-05-03,58981.44,
2021-05-04,57200.0,
2021-05-05,58069.82,
2021-05-06,58360.0,
2021-05-07,58650.0,
2021-05-08,59500.0,
2021-05-09,59300.0,
2021-05-10,59500.0,
2021-05-11,56862.43,
2021-05-12,58000.01,
2021-05-13,51367.19,
2021-05-14,51483.0,
2021-05-15,50700.0,
2021-05-16,49795.89,
2021-05-17,46686.0,
2021-05-18,45799.29,
2021-05-19,43584.9,
2021-05-20,42451.67,
2021-05-21,42200.0,
2021-05-22,38829.0,
2021-05-23,38270.64,
2021-05-24,39920.0,
2021-05-25,39791.77,
2021-05-26,40841.0,
2021-05-27,40411.14,
2021-05-28,38877.83,
2021-05-29,37338.58,
2021-05-30,36488.0,
2021-05-31,37499.0,
2021-06-01,37894.81,
2021-06-02,38225.0,
2021-06-03,39476.0,
2021-06-04,39289.07,
2021-06-05,37925.0,
2021-06-06,36480.0,
2021-06-07,36900.0,
2021-06-08,34068.01,
2021-06-09,37534.79,
2021-06-10,38491.0,
2021-06-11,37680.4,
2021-06-12,37463.63,
2021-06-13,39380.0,
2021-06-14,41064.05,
2021-06-15,41330.0,
2021-06-16,40527.14,
2021-06-17,39559.88,
2021-06-18,38202.84,
2021-06-19,36457.0,
2021-06-20,36137.72,
2021-06-21,35750.0,
2021-06-22,33298.78,
2021-06-23,34881.0,
2021-06-24,35298.0,
2021-06-25,35500.0,
2021-06-26,32730.0,
2021-06-27,34749.0,
2021-06-28,35297.71,
2021-06-29,36600.0,
2021-06-30,36100.0,
2021-07-01,35057.57,
2021-07-02,33977.04,
2021-07-03,34945.61,
2021-07-04,35967.85,
2021-07-05,35293.78,
2021-07-06,35118.88,
2021-07-07,35059.09,
2021-07-08,33929.64,
2021-07-09,34100.0,
2021-07-10,34262.0,
2021-07-11,34666.0,
2021-07-12,34678.43,
2021-07-13,33340.0,
2021-07-14,33114.03,
2021-07-15,33185.25,
2021-07-16,32249.18,
2021-07-17,31955.92,
2021-07-18,32435.0,
2021-07-19,31899.0,
2021-07-20,31063.07,
2021-07-21,32858.0,
2021-07-22,32591.35,
2021-07-23,33650.0,
2021-07-24,34500.0,
2021-07-25,35398.0,
2021-07-26,40550.0,
2021-07-27,39542.61,
2021-07-28,40900.0,
2021-07-29,40640.0,
2021-07-30,42316.71,
2021-07-31,42448.0,
2021-08-01,42599.0,
2021-08-02,40480.01,
2021-08-03,39780.0,
2021-08-04,39969.66,
2021-08-05,41350.0,
2021-08-06,43392.43,
2021-08-07,44700.0,
2021-08-08,45310.0,
2021-08-09,46454.15,
2021-08-10,46700.0,
2021-08-11,46743.47,
2021-08-12,46218.12,
2021-08-13,47886.0,
2021-08-14,48144.0,
2021-08-15,47372.27,
2021-08-16,48053.83,
2021-08-17,47160.0,
2021-08-18,46000.0,
2021-08-19,47033.0,
2021-08-20,49382.99,
2021-08-21,49757.04,
2021-08-22,49500.0,
2021-08-23,50500.0,
2021-08-24,49860.0,
2021-08-25,49264.3,
2021-08-26,49352.84,
2021-08-27,49149.93,
2021-08-28,49299.0,
2021-08-29,49632.27,
2021-08-30,48888.61,
2021-08-31,48246.11,
2021-09-01,49156.0,
2021-09-02,50450.13,
2021-09-03,51000.0,
2021-09-04,50535.69,
2021-09-05,51900.0,
2021-09-06,52780.0,
2021-09-07,52920.0,
2021-09-08,47340.99,
2021-09-09,47399.97,
2021-09-10,47033.0,
2021-09-11,45987.93,
2021-09-12,46460.0,
2021-09-13,46880.0,
2021-09-14,47250.0,
2021-09-15,48500.0,
2021-09-16,48557.0,
2021-09-17,48150.0,
2021-09-18,48843.2,
2021-09-19,48372.83,
2021-09-20,47347.25,
2021-09-21,43639.0,
2021-09-22,44000.55,
2021-09-23,44978.0,
2021-09-24,45200.0,
2021-09-25,42966.84,
2021-09-26,43950.0,
2021-09-27,44350.0,
2021-09-28,42787.38,
2021-09-29,42590.0,
2021-09-30,44141.37,
2021-10-01,48495.0,
2021-10-02,48336.59,
2021-10-03,49228.08,
2021-10-04,49536.12,
2021-10-05,51886.3,
2021-10-06,55750.0,
2021-10-07,55332.31,
2021-10-08,56100.0,
2021-10-09,55489.0,
2021-10-10,56561.31,
2021-10-11,57839.04,
2021-10-12,57680.0,
2021-10-13,57777.0,
2021-10-14,58532.54,
2021-10-15,62933.0,
2021-10-16,62378.42,
2021-10-17,61718.39,
